mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
159, 55.1347, 12.3948, 322.938, 46.8383, local, 0.202, 0.034, 0.124, 0.535, 0.089, 0.71, 5, 48, 26, 22, 
160, 55.2560, 12.4221, 323.649, 46.9414, local, 0.202, 0.057, 0.123, 0.473, 0.098, 0.81, 3, 39, 20, 20, 
161, 55.5638, 12.4912, 325.452, 47.2028, local, 0.441, 0.322, 0.828, 0.946, 0.098, 1.06, 3, 3, 2, 2, 
162, 55.9487, 12.5778, 327.707, 47.5298, global, 0.778, 0.386, 0.494, 0.530, 0.141, 1.28, 52, 2, 1, 1, weak-axis flexure
163, 56.0236, 12.5946, 328.145, 47.5934, local, 0.192, 0.048, 0.102, 0.542, 0.079, 0.75, 52, 48, 24, 24, 
164, 56.0768, 12.6066, 328.457, 47.6387, local, 0.204, 0.056, 0.128, 0.412, 0.062, 0.48, 10, 55, 28, 28, 
165, 56.4600, 12.6927, 330.701, 47.9642, local, 0.223, 0.048, 0.163, 0.452, 0.039, 0.49, 38, 42, 21, 21, 
166, 56.7591, 12.7599, 332.453, 48.2182, local, 0.215, 0.055, 0.158, 0.505, 0.064, 0.70, 9, 45, 23, 23, 
167, 56.9111, 12.7941, 333.344, 48.3474, local, 0.427, 0.299, 0.727, 0.830, 0.109, 1.21, 13, 3, 2, 2, 
168, 57.3467, 12.8920, 335.895, 48.7174, local, 0.192, 0.036, 0.095, 0.459, 0.096, 0.85, 60, 50, 25, 25, 
169, 57.5722, 12.9427, 337.216, 48.9090, local, 0.590, 0.328, 0.567, 0.586, 0.159, 1.35, 62, 4, 2, 2, 
170, 57.7471, 12.9821, 338.240, 49.0576, local, 0.249, 0.064, 0.138, 0.503, 0.073, 0.65, 10, 53, 27, 27, 
171, 58.0158, 13.0425, 339.814, 49.2858, local, 0.202, 0.051, 0.154, 0.396, 0.101, 0.71, 32, 48, 24, 24, 
172, 58.1451, 13.0715, 340.571, 49.3957, local, 0.359, 0.120, 0.296, 0.483, 0.097, 0.73, 57, 35, 18, 18, 
173, 58.5558, 13.1639, 342.977, 49.7446, local, 0.474, 0.347, 0.817, 0.961, 0.105, 1.02, 9, 7, 4, 4, 
174, 58.8668, 13.2338, 344.798, 50.0088, local, 0.248, 0.041, 0.239, 0.611, 0.070, 0.55, 18, 24, 12, 12, 
175, 58.9090, 13.2433, 345.046, 50.0447, local, 0.240, 0.034, 0.202, 0.545, 0.069, 0.55, 19, 37, 19, 19, 
176, 59.2525, 13.3205, 347.058, 50.3365, distortional, 0.422, 0.230, 0.506, 0.564, 0.180, 1.35, 68, 12, 6, 6, 
177, 59.3576, 13.3441, 347.674, 50.4258, local, 0.218, 0.050, 0.127, 0.510, 0.062, 0.61, 40, 50, 25, 25, 
178, 59.5871, 13.3957, 349.017, 50.6207, local, 0.231, 0.048, 0.254, 0.754, 0.089, 0.72, 65, 33, 17, 17, 
179, 59.8526, 13.4554, 350.573, 50.8463, local, 0.241, 0.043, 0.244, 0.661, 0.071, 0.65, 23, 39, 20, 20, 
180, 60.1757, 13.5280, 352.465, 51.1207, local, 0.431, 0.253, 0.620, 0.760, 0.135, 1.17, 33, 11, 6, 6, 
181, 60.5304, 13.6078, 354.543, 51.4221, local, 0.207, 0.035, 0.109, 0.561, 0.085, 0.63, 68, 46, 23, 23, 
182, 60.7831, 13.6646, 356.023, 51.6367, distortional, 0.130, 0.079, 0.513, 0.634, 0.202, 1.17, 82, 22, 11, 11, 
183, 61.2764, 13.7755, 358.912, 52.0558, local, 0.221, 0.058, 0.210, 0.577, 0.076, 0.62, 57, 41, 21, 21, 
184, 61.5164, 13.8294, 360.318, 52.2597, local, 0.223, 0.035, 0.114, 0.534, 0.075, 0.57, 77, 56, 28, 28, 
185, 61.5793, 13.8436, 360.686, 52.3131, local, 0.143, 0.105, 0.490, 0.689, 0.202, 1.13, 83, 27, 14, 14, 
186, 62.0922, 13.9589, 363.691, 52.7489, local, 0.245, 0.082, 0.187, 0.575, 0.063, 0.72, 57, 43, 22, 22, 
187, 62.2537, 13.9952, 364.637, 52.8861, local, 0.324, 0.191, 0.353, 0.748, 0.157, 1.19, 88, 32, 16, 16, 
